"9 Av","sD013"
"9 St","sF017"
"Alabama Av","sJ017"
"Allerton Av","s2054"
"Annadale","sSI08"
"Aqueduct - N Conduit Av","sA09"
"Aqueduct Racetrack","sA010"
"Astoria Blvd","sN044"
"Astoria - Ditmars Blvd","sN045"
"Astor Pl","s4025"
"Atlantic Av - Barclays Ctr","s2012"
"Atlantic Av","sL06"
"Atlantic","sSI02"
"Avenue H","sQ011"
"Avenue I","sF010"
"Avenue J","sQ010"
"Avenue M","sQ09"
"Avenue N","sF08"
"Avenue P","sF07"
"Avenue U","sF05"
"Avenue U","sN03"
"Avenue U","sQ07"
"Avenue X","sF04"
"Bay 50 St","sD02"
"Baychester Av","s5038"
"Bay Pkwy","sD04"
"Bay Pkwy","sF09"
"Bay Pkwy","sN05"
"Bay Ridge - 95 St","sR01"
"Bay Ridge Av","sR04"
"Bay Terrace","sSI011"
"Beach 105 St","sH02"
"Beach 25 St","sA02"
"Beach 36 St","sA03"
"Beach 44 St","sA04"
"Beach 60 St","sA05"
"Beach 67 St","sA06"
"Beach 90 St","sH04"
"Beach 98 St","sH03"
"Bedford Av","sL019"
"Bedford - Nostrand Avs","sG013"
"Bedford Park Blvd - Lehman College","s4052"
"Bedford Park Blvd","sB037"
"Bergen St","s2011"
"Bergen St","sF020"
"Beverley Rd","sQ014"
"Beverly Rd","s203"
"Bleecker St","s4024"
"Borough Hall","s2015"
"Botanic Garden","s208"
"Bowery","sJ05"
"Bowling Green","s4018"
"Briarwood - Van Wyck Blvd","sE029"
"Brighton Beach","sB01"
"Broad Channel","sA07"
"Broad St","sJ01"
"Broadway Jct","sA019"
"Broadway-Lafayette St","s4024"
"Broadway","sG016"
"Broadway","sN042"
"Bronx Park East","s2052"
"Brook Av","s6022"
"Brooklyn Bridge - City Hall","s4021"
"Buhre Av","s6037"
"Burke Av","s2055"
"Burnside Av","s4048"
"Bushwick Av - Aberdeen St","sL08"
"Canal St","s106"
"Canal St","s4022"
"Canal St","sA033"
"Canarsie - Rockaway Pkwy","sL01"
"Carroll St","sF019"
"Castle Hill Av","s6033"
"Cathedral Pkwy (110 St)","sA047"
"Cathedral Pkwy","s1023"
"Central Av","sM07"
"Central Park North (110 St)","s2038"
"Chambers St","s104"
"Chambers St","s2019"
"Chambers St","s4021"
"Chauncey St","sJ015"
"Christopher St - Sheridan Sq","s108"
"Church Av","s204"
"Church Av","sB05"
"Church Av","sF013"
"City Hall","sN026"
"Clark St","s2016"
"Classon Av","sG012"
"Cleveland St","sJ019"
"Clifton","sSI019"
"Clinton - Washington Avs","sA026"
"Clinton - Washington Avs","sG011"
"Coney Island - Stillwell Av","sD01"
"Cortelyou Rd","sQ013"
"Cortlandt St","s103"
"Cortlandt St","sN025"
"Court Sq","s707"
"Court St","s2015"
"Crescent St","sJ021"
"Crown Hts - Utica Av","s308"
"Cypress Av","s6023"
"Cypress Hills","sJ022"
"DeKalb Av","sB09"
"DeKalb Av","sL012"
"Delancey St","sF024"
"Ditmas Av","sF012"
"Dongan Hills","sSI016"
"Dyckman St","s1032"
"Dyckman St","sA058"
"E 105 St","sL02"
"E 143 St - St Mary's St","s6024"
"E 149 St","s6025"
"E 180 St","s2051"
"East Broadway","sF023"
"Eastchester - Dyre Av","s5039"
"Eastern Pkwy - Brooklyn Museum","s209"
"Elder Av","s6029"
"Elmhurst Av","sE021"
"Eltingville","sSI09"
"Essex St","sF024"
"Euclid Av","sA015"
"Far Rockaway - Mott Av","sA01"
"Flatbush Av - Brooklyn College","s201"
"Flushing Av","sG015"
"Flushing Av","sJ010"
"Flushing - Main St","s7022"
"Fordham Rd","s4050"
"Fordham Rd","sB035"
"Forest Av","sM03"
"Forest Hills - 71 Av","sE026"
"Fort Hamilton Pkwy","sD012"
"Fort Hamilton Pkwy","sF014"
"Fort Hamilton Pkwy","sN09"
"Franklin Av","s208"
"Franklin Av","sA025"
"Franklin St","s105"
"Freeman St","s2048"
"Fresh Pond Rd","sM02"
"Fulton St","s2018"
"Fulton St","sG010"
"Gates Av","sJ013"
"Graham Av","sL017"
"Grand Army Plaza","s2010"
"Grand Av - Newtown","sE022"
"Grand Central - 42 St","s4030"
"Grand St","sB010"
"Grand St","sL016"
"Grant Av","sA014"
"Grant City","sSI014"
"Grasmere","sSI018"
"Great Kills","sSI010"
"Greenpoint Av","sG019"
"Gun Hill Rd","s2056"
"Gun Hill Rd","s5037"
"Halsey St","sJ014"
"Halsey St","sL010"
"Harlem - 148 St","s3034"
"Hewes St","sJ08"
"High St","sA030"
"Houston St","s107"
"Howard Beach - JFK Airport","sA08"
"Hoyt - Schermerhorn Sts","sA028"
"Hoyt St","s2014"
"Huguenot","sSI07"
"Hunters Point Av","s706"
"Hunts Point Av","s6027"
"Intervale Av","s2046"
"Inwood - 207 St","sA059"
"Jackson Av","s2044"
"Jackson Hts - Roosevelt Av","s7015"
"Jamaica - 179 St","sF045"
"Jamaica Center - Parsons/Archer","sE032"
"Jamaica - Van Wyck","sE030"
"Jay St - MetroTech","sA029"
"Jefferson Av","sSI015"
"Jefferson St","sL013"
"Junction Blvd","s7018"
"Junius St","s304"
"Kew Gardens - Union Tpke","sE028"
"Kingsbridge Rd","s4051"
"Kingsbridge Rd","sB036"
"Kings Hwy","sB03"
"Kings Hwy","sF06"
"Kings Hwy","sN04"
"Kingston Av","s309"
"Kingston - Throop Avs","sA023"
"Knickerbocker Av","sM06"
"Kosciuszko St","sJ012"
"Lafayette Av","sA027"
"Lexington Av/53 St","s4031"
"Lexington Av/59 St","s4032"
"Lexington Av/63 St","s4032"
"Liberty Av","sA018"
"Livonia Av","s304"
"Longwood Av","s6026"
"Lorimer St","sG017"
"Lorimer St","sJ09"
"Marble Hill - 225 St","s1035"
"Marcy Av","sJ07"
"Metropolitan Av","sG017"
"Mets - Willets Point","s7021"
"Middletown Rd","s6036"
"Middle Village - Metropolitan Av","sM01"
"Montrose Av","sL015"
"Morgan Av","sL014"
"Morrison Av- Sound View","s6030"
"Morris Park","s5035"
"Mosholu Pkwy","s4053"
"Mt Eden Av","s4046"
"Myrtle Av","sJ011"
"Myrtle - Willoughby Avs","sG014"
"Myrtle - Wyckoff Avs","sL011"
"Nassau Av","sG018"
"Nassau","sSI03"
"Neck Rd","sQ06"
"Neptune Av","sF03"
"Nereid Av","s2060"
"Nevins St","s2013"
"New Dorp","sSI013"
"Newkirk Av","s202"
"Newkirk Plaza","sB04"
"New Lots Av","s301"
"New Lots Av","sL03"
"New Utrecht Av","sD09"
"Northern Blvd","sE018"
"Norwood - 205 St","sD041"
"Norwood Av","sJ020"
"Nostrand Av","s3010"
"Nostrand Av","sA024"
"Oakwood Heights","sSI012"
"Ocean Pkwy","sQ03"
"Old Town","sSI017"
"Parkchester","s6032"
"Park Pl","s2019"
"Park Pl","sFS03"
"Parkside Av","sQ016"
"Parsons Blvd","sF043"
"Pelham Bay Park","s6038"
"Pelham Pkwy","s2053"
"Pelham Pkwy","s5036"
"Pennsylvania Av","s303"
"Pleasant Plains","sSI05"
"President St","s207"
"Prince's Bay","sSI06"
"Prince St","sN028"
"Prospect Av","s2045"
"Prospect Av","sD016"
"Prospect Park","sB06"
"Queensboro Plaza","s708"
"Queens Plaza","sE014"
"Ralph Av","sA021"
"Rector St","s102"
"Rector St","sN024"
"Richmond Valley","sSI04"
"Rockaway Av","s305"
"Rockaway Av","sA020"
"Rockaway Blvd","sA011"
"Rockaway Park - Beach 116 St","sH01"
"Roosevelt Island","sF035"
"Saratoga Av","s306"
"Seneca Av","sM04"
"Sheepshead Bay","sB02"
"Shepherd Av","sA016"
"Simpson St","s2047"
"Smith - 9 Sts","sF018"
"South Ferry Loop","s101"
"Spring St","s4023"
"Spring St","sA034"
"Stapleton","sSI020"
"Steinway St","sE016"
"Sterling St","s206"
"St George","sSI022"
"St Lawrence Av","s6031"
"stop_name","station_id"
"Sutphin Blvd - Archer Av - JFK Airport","sE031"
"Sutphin Blvd","sF042"
"Sutter Av - Rutland Rd","s307"
"Sutter Av","sL05"
"Times Sq - 42 St","s1014"
"Tompkinsville","sSI021"
"Tottenville","sSI01"
"Tremont Av","sB033"
"Union Sq - 14 St","s4026"
"Union St","sD018"
"Utica Av","sA022"
"Van Cortlandt Park - 242 St","s1038"
"Van Siclen Av","s302"
"Van Siclen Av","sA017"
"Van Siclen Av","sJ018"
"Vernon Blvd - Jackson Av","s705"
"W 4 St","sA035"
"W 8 St - NY Aquarium","sF02"
"Wakefield - 241 St","s2061"
"Wall St","s2017"
"Wall St","s4019"
"Westchester Sq - E Tremont Av","s6035"
"West Farms Sq - E Tremont Av","s2050"
"Whitehall St","s101"
"Whitlock Av","s6028"
"Wilson Av","sL09"
"Winthrop St","s205"
"Woodhaven Blvd","sE023"
"Woodhaven Blvd","sJ025"
"Woodlawn","s4054"
"Woodside - 61 St","s7013"
"World Trade Center","s2019"
"York St","sF022"
"Zerega Av","s6034"
